客家汉字,Hakka Pronunciation,Chinese definition,English Definition
哎頭碌,ai4 teu2 luk5,那頭，那邊（比較遠的距離）。例：哎頭碌有間觀音廟〔那邊有一間觀音廟〕。,Over there; that side (relatively far). E.g. 'There's a Guanyin temple over there.'
恁好死,an2 hau3 si3,字面是那麼容易死，但意思是“（哪有）那麼美好”。例：恁好死，今日請厓去食飯，梗係想尋厓幫忙啦〔那麼好，今天請我去食飯，一定想找我幫忙啦〕。,Lit. 'so easy to die'. Ironic: 'That's too good to be true.' E.g. 'Treating me to dinner today? Must be wanting a favour.'
咁前世,an4 cien2 se4,前世其實是“前世唔修”的縮略。字面意義是前世沒有修好，今生受苦，好慘。但一般引申為“那麼可憐，那麼差”。,Short for 前世唔修 (didn't cultivate virtue in a past life). Means 'how pitiful / how terrible'.
鴨公聲,ap5 gung1 sang1,鴨公是公鴨，叫聲沙啞。喻指聲音沙啞的人。,A duck's hoarse voice. Describes a person with a hoarse or raspy voice.
半中腰,ban4 dung1 yau1,人體或植物一半的位置，注意“中”的發音。,Halfway up the body or a plant; mid-point. Note: 中 is pronounced with a different tone.
半江浸,ban4 gong1 zim4,1) 說別人的話有口音，外語（或者其他方言）學得不好。2) 說某個地方的話不客不粵，很滑稽。,Half-immersed in a river. 1) To speak with a strong accent; to speak a language/dialect poorly. 2) Speech that is neither Hakka nor Cantonese – amusing.
半公嫲,ban4 gung1 ma2,不男不女，人妖。一般指年輕人的穿着、舉止，帶有取笑的意思。,"Neither male nor female; androgynous or effeminate. Usually describes a young person's appearance or mannerisms, with a teasing tone."
半工讀,ban4 gung1 tuk6,一邊工作一遍讀書。,Working and studying at the same time; work-study.
半爛殘,ban4 lan4 can4,中途（放棄）。例：食飯食到半爛殘就講愛趕等開工〔吃飯吃到一半就說要趕着開工〕。,Halfway through; in the middle of (and then stopping). E.g. 'Was halfway through eating when he said he had to rush off to work.'
半做料,ban4 zo4 liau4 $,一邊工作一邊遊玩。很輕鬆的工作，又作半做半料。例：其份工半做料，人工又高，㖠里都尋唔到〔他那份工作很輕鬆，薪水又高，哪裏都找不到〕。,"Working in a leisurely, relaxed way; half-working, half-playing. Also 半做半料. E.g. 'His job is so easy and pays well – you won't find that anywhere.'"
發餓癆,bot5 ngo4 lau2,本義是一種發餓的病，引申為貪心、貪小便宜。例：恁發餓癆，連一毫子都去撿？〔那麼貪小便宜，連一毛錢都去撿？〕,Lit. 'hunger sickness'. Means greedy or taking advantage of freebies. E.g. 'So greedy you'd even pick up a single cent?'
