客家汉字,Hakka Pronunciation,Chinese definition,English Definition
阿姆,a1 me3,,"The original pronunciation “á mé” of the characters means. Hoever, in HKHK, this pronunciation is obsolete for mother, but more as an exclamation. Sometimes it may be lengthened to say “á mĕzu3”, meaning “My God!”. If the pronunciation is just “á mĕ”, it means “Look!”."
阿妹,a1 moi4,,"In Chinese, the character “妹” means younger sister, but in Hakka it can be used to mean “child” of both genders. The younger sister is “la3u mòi” instead. The expression “á mòi” has two meanings: 1) Addressing a child on the street by an eldery, the pronunciation may be lengthened to  almost like “á mòi ói” 2) Talking of their own children between couples. e. “á mòi fa3t sa1u e3, go4 lo2i ko4n ha4”[阿妹發燒欸，過來看下] {Our child has fever, come and see”."
巴搭,ba1 dap5,,"The palm of the hand to hit. e. g. “yi3t bá dăp pa1n go4 hi4” [一巴搭拌過去] {hit with the palm}, also spoken as “dăp ma2”[搭嫲]."
飽節,bau3 ziet5,,"The original meaning was very well fed and cause waste, but now it means waste, or not valuing something. “an2 ba3u zie3t? Ba4n za3k ga1i du1 do4ng lo3t so3t fi3t ho1i gi2?” [恁飽節？半隻雞都當垃圾拂嗨佢？{So wasteful, throwing away half a chicken as rubbish?}"
發癲,bot5 dien1,,"Being mad, also spoken as “bot lo4t” [發捋], can also mean very angry."
發冷,bot5 lang1,,"Also spoken as “bŏt ta4i láng”, which was a colloquial term for malaria. It was used earlier as a curse word, but not it is mildened to a non-malicious nickname. .e.g Ngia1 za3k bŏt láng a2n za3u hi4 la4i le1? [惹隻發冷恁早去㖠哦] So early, whre are you going my friend?]"
發捋,bot5 lot6,,"Loose the temper., Also known as bo3t sia4ng [發性]."
發性,bot5 siang4,,Loose the temper. Also known as bo3t lo4 [發捋]
發瘟,bot5 vun1,,"Orignial meaning is “plaque”. Now used to curse animals, especially cats or dogs. e.g. “Gia1  tia2u bo3t vu1n ge3u nga1u si3 nga1 tia2u mia4u” [其條發瘟狗咬死吾條貓]{His damned dog bit my cat to death}"
差過,ca4 go4,,"Original meaning is “worse than”:, but the actual meaning is “almost”.  恁樣看等厓，差過厓係賊佬恁樣〔這樣看住我，幾乎把我當作賊一樣〕。"
恃懵,ci3 mung3,隨便，胡亂。例：恃懵填幾隻字就會中獎〔隨便填幾個字就會中獎〕。,To act carelessly or randomly; doing things haphazardly.
座硬,co4 ngang4,一定會。例：考試唔讀書座硬唔及格〔考試不讀書肯定不及格〕。,Definitely will; certainly bound to happen. E.g. 'Not studying for an exam will definitely result in failure.'
伸差,cun1 ca1,整齊，清楚。例：這件事厓都講唔伸差〔這件事我也說不清〕。,"Neat and clear; in order. Often used negatively as 唔伸差 (out of order, unclear)."
搭嫲,dap5 ma2,（打人的）巴掌。又作“巴搭”（見“巴搭”條）。,A slap with the palm of the hand. Variant of 巴搭.
鬥多,deu4 do1,隨便，不經意。例：哎隻醫生鬥多看下就講愛三千銀〔那個醫生隨便看一下就說要三千元〕。,Casually; without care or attention; carelessly.
鬥當,deu4 dong4,求別人要。例：鬥當就唔抵錢〔求別人要就不值錢〕。,To beg or solicit something from someone. 'What is begged for has no value.'
滴仔,dit6 zai3,一丁點兒。又作滴息仔、滴哥仔。,"A tiny little bit; a very small amount. Also said as 滴息仔, 滴哥仔."
剁殺,diok6 sat5,口頭禪，相當於：我呸。,An exclamation equivalent to 'Pfft!' or 'Nonsense!' Used as a mild dismissive interjection.
當得,dong1 det5,事實上如此。例：當得做過就唔怕承〔事實上做過就不怕認〕。/當得係就係，唔好生安白做〔事實上是就是，不要無中生有〕。,"That's how it actually is; in fact; that is the truth. 'If you really did it, then don't be afraid to admit it.'"
哄鬼,fung3 gui3,口頭禪，本義是騙鬼。但意思是“說鬼話、我才不信”。例：哄鬼呀！佢都有錢送賴子去英國讀書？〔說鬼話！他都會有錢送兒子去英國讀書？〕,An exclamation of disbelief: 'Yeah right!' or 'You've got to be kidding me!' Lit. 'deceiving ghosts'.
夾總,gap5 zung3,全部加起來，總共，又作“摎總”。例：人工摎獎金夾總都冇一萬銀〔薪水跟獎金加起來都沒有一萬塊〕。,All together; total. Synonymous with 摎總. E.g. 'Salary plus bonus altogether is less than ten thousand.'
幾面,gi3 mien4,（做了）幾次（奶奶、爺爺、外公、外婆之類）。例：吾老妹吂到五十歲就做嗨幾面姐婆咯〔我妹妹沒到五十歲已經做了幾次外婆了〕。,"How many times (as grandparent, etc.). E.g. 'My younger sister hasn't turned fifty yet and has already been a grandmother several times.'"
見人,gien4 ngin2,人人，每個人。例：見人都有份〔人人都有份〕。,Everyone; every person. E.g. '見人都有份' – Everyone gets a share.
過魔,go1 mo1,過魔本義是絕子絕孫的意思，本來是個詈語，但很多時候會用作朋友間的暱稱。例：惹隻過魔做乜介恁久都冇來吾屋下哦？〔你這個傢伙為何那麼久都沒來我家呀？〕，又作“過魔薯”。,Lit. 'past demon' – originally a curse meaning 'may your lineage end'. Now used affectionately among friends. Also 過魔薯.
戈門,go1 mun2,專門，特地（做一些令人不快的動作）。例：唔好戈門圖菜〔不要專門只吃菜〕。,Specifically; deliberately (for doing something annoying). E.g. 'Don't specifically only eat the vegetables.'
過爭,go4 zang1,（病情等）比較好一點。例：佢今日過爭咯，正先還食得飯〔他今天好點了，剛才還吃過飯〕。,A little better (of illness etc.). E.g. 'He is a bit better today; he even ate just now.'
過啜,go4 zoi4,啜是嘴巴的意思。“過啜”是說吃了一些口味重的東西，用糖果或者甜品來中和嘴巴中的感覺。例：食嗨條魚，愛食隻糖仔來過啜〔吃完了一條魚，要吃顆糖果來中和一下。〕。,"To neutralize a strong taste in the mouth with something sweet. 啜 = mouth. E.g. 'After eating fish, eat a candy to clear the palate.'"
看信,kon4 sin4,看看。例：你敢駁嘴看信？〔你敢頂嘴看看？〕,Try it and see; just wait and see. E.g. 'You dare talk back? Just try it!'
泥包,lai2 bau1,讀書不聰明，一般當形容詞使用。例：佢細哎陣讀書好泥包，吂知今下做嗨大老闆〔他小時候讀書很差勁，怎知道現在做了大老闆〕。,Not smart academically; poor student (used as adjective). E.g. 'Who knew the poor student turned out to be a big boss?'
恅過,lau1 go4,以為。例：你恅過厓還細呀〔你以為我還小嗎〕？,To think; to assume; to suppose. E.g. 'You think I'm still young?'
啉噤,lem3 gem3,全部（字源不明）。惹幾隻人啉噤都細過厓〔你們幾個人全部都比我小〕。,"All; everyone; the whole lot (etymology uncertain). E.g. 'You few people, all of you are younger than me.'"
仰邊,liong4 bien1,,怎樣？老派發音作ngiòng bién。但大部分人發音是liòng bién。
唔着,m cok6,（數目）不對。,Incorrect (of a number or count).
麻理,ma2 li1,隨便（副詞）。例：正先冇看清楚，麻理拿隻就走〔剛才沒看清楚，隨便拿個就走〕。,"Casually; at random (adverb). E.g. 'Didn't look carefully, just grabbed one and left.'"
嘪都,mai3 du1,什麼都。例：等你拿得相機出來嘪都走揫啦〔等你拿照相機出來什麼都走光了〕。,"Everything; whatever. E.g. 'By the time you get the camera out, everything will be gone.'"
嘪呀,mai3 ya1,疑問句：你說什麼？但語氣一般決定意義。比較輕的是“你說什麼，我沒聽到”。比較重（“呀”字提高聲調）的是“真的嗎？我不相信/我給這個消息嚇到了”。例：嘪呀，惹姐公姐婆舊年離嗨婚？〔什麼，你外公外婆去年離了婚？〕,"What did you say? (light tone); or: What?! / Seriously?! (heavy tone, expressing shock). E.g. 'What?! Your grandparents got divorced last year?!'"
拈便,ngiam1 pien4,準備好（後面一定是動詞），通常是值得高興的事情。例：惹兩隻賴子都今年結婚，你咩拈便做阿公？〔你兩個兒子都今年結婚，你豈不是準備好做爺爺了？〕,Ready to (do something pleasant); all set for. E.g. 'Both your sons are getting married this year – you're all set to be a grandfather!'
嘥爽,sai1 song3,浪費。“嘥”字源不詳，可能借自廣州話。,Wasteful; to waste. (嘥 possibly borrowed from Cantonese.)
死梗,si3 gang3,死定，一般是誇張說法。例：後日考試乜介都還吂準備，這擺死梗咯〔後天考試什麼都還沒準備，這次死定了〕。,Definitely done for; certainly going to fail (usually hyperbolic). E.g. 'Nothing prepared for tomorrow's exam – definitely dead.'
死咯,si3 lok5,糟糕。例：死咯，原來厓冇帶鎖匙添〔糟糕，原來我根本沒帶鑰匙〕。“咯”發音為lŏk表示事態嚴重。發音為lŏ則比較輕微。,"Oh no! / Darn it! An exclamation of dismay. E.g. 'Oh no, I didn't bring my keys at all.' (咯 as lŏk = serious; as lŏ = mild)."
死食,si3 sit6,饞嘴，喜歡吃。例：這隻年紀唔好恁死食，好容易食出病嘅呀〔這個年紀不要那麼饞嘴，好容易吃出病的呀〕。,"Greedy for food; gluttonous. E.g. 'At this age don't be so gluttonous, it's easy to eat yourself sick.'"
纖西,siam1 si1,少許、稍微。“纖西”是同音字，字源不詳。例：纖西有錢滴都唔會住在這裡。〔稍為有錢點也不會住在這裡〕。,A little; slightly. E.g. 'Even slightly better off and they wouldn't live here.'
酸果,son1 go3,指人傻兮兮，大笑大哭的性格。例：其老婆正酸果，動到就哈哈大笑〔他老婆傻兮兮的，動不動就哈哈大笑〕。,"Slightly silly or scatterbrained; giggly and crying personality. E.g. 'His wife is a bit of a scatterbrain, always bursting into laughter.'"
喪家,song1 ga1,本指辦喪事的家庭。用作詈語罵人。例：厓正唔愛其幾隻喪家錢〔我才不要他那王八蛋的幾個錢〕。,Lit. 'family in mourning' – used as a curse word. E.g. 'I'm not taking a single cent of his rotten money.'
喪豺,song1 sai2,肚子餓，飢不擇食。引申為猴急。,Extremely hungry; ravenous. Extended meaning: overly eager or impatient.
喪食,song1 sit6,肚子餓，飢不擇食。通常沒有引申義。,Extremely hungry; ravenous. Usually without extended meaning.
順溜,sun4 liu4,順利。又作順溜順溜。例：係講嘪都恁順溜，厓五十歲就唔使做了〔什麼都那麼順利的話，我五十歲就不用幹了〕。,"Smoothly; without a hitch. Also 順溜順溜. E.g. 'If everything goes this smoothly, I won't need to work past fifty.'"
天作,tien1 zok5,快有暴風雨前悶熱的天氣。又比喻人發脾氣。,"Stuffy, oppressive weather before a storm. Also metaphor for someone about to lose their temper."
