客家汉字,Hakka Pronunciation,Chinese definition,English Definition
鴨子聽雷,ap5 zu3 tang4 lui2,內容太艱澀聽不懂，或者指語言不通。,A duck listening to thunder. Content too abstruse to understand; a language barrier; talking at cross-purposes.
坐打正子,co1 da3 zang4 zu1,正襟危坐，坐着不動的姿勢。,Sitting perfectly upright with stiff posture; to sit rigidly bolt upright.
從頭一二,cung2 teu2 yit5 ngi4,從頭開始（細說）。,To explain from the very beginning; to go through step by step from the start.
打屁到啜,da3 pi4 dau4 zoi4,一放屁就要到嘴裏，嘲笑性急的人。,Lit. 'a fart goes straight to the mouth'. Mocking someone who is overly impatient or impulsive.
屌哥死絕,diau3 go1 si3 ciet6,很生氣，大聲講粗話罵人的狀態。,"Very angry, swearing and cursing loudly; in a state of furious profanity."
火屎焫腳,fo3 si3 lat5 giok5,（探訪親友）逗留沒一會就說要走。相當於廣州話的“滾水熝腳”。,Lit. 'burning embers scorching the feet'. Leaving after only a brief visit; like a cat on a hot tin roof. Equivalent to Cantonese 滾水熝腳.
雞啼半夜,gai1 tai2 ban4 ya4,三更半夜（農村生活只有雞啼，沒有打更）。,"The dead of night (since village life only had crowing roosters, not night watchmen)."
蛤蟆馱春,ha2 ma2 to2 cun1,青蛙懷着卵子的樣子。比喻年紀不大的小孩背着自己的弟妹，又作三斤孭（bā）〔背〕兩斤。,A frog carrying eggs in its body; describes a small child carrying a younger sibling on their back. Also: 三斤孭兩斤.
好死唔死,hau3 si3 m si3,字面是該死的不死。但一般是指碰巧（遇到不好的事情）。,Lit. 'the one who should die doesn't'. Idiom meaning: 'as luck would have it' (in a bad situation); to happen to...
攬稈上棚,lam3 gon3 song1 pang2,把禾稈摟住上去閣樓存放，動作通常要很快。用來比喻人狼吞虎嚥的窘態。,Bundling rice stalks to carry them up to the loft – a hurried action. Describes someone wolfing down food greedily.
摎人扠鞋,lau1 ngin2 ca1 hai2,字面是幫別人挽鞋子。比喻比別人差勁很多。又作摎人擎腳。,Lit. 'to help someone carry their shoes'. Far inferior to the other person; not even fit to carry their shoes. Also 摎人擎腳.
摎人擎腳,lau1 ngin2 kia2 giok5,字面是幫別人承托着腳。比喻比別人差勁很多。又作摎人扠鞋。,Lit. 'to support someone's feet'. Far inferior to the other person. Also 摎人扠鞋.
雷公劈石,lui2 gung1 piak5 sak6,說話大聲，沒教養。,Lit. 'thunder splitting rocks'. Talking too loudly; having no manners.
唔得佢死,m det5 gi2 si3,字面是很想他死。引申為拿他沒辦法。,Lit. 'wish he would just die'. Extended meaning: there's nothing you can do about him; he's impossible to deal with.
唔知重輕,m di1 cung1 kiang1,不知道輕重。,Not knowing what is important or not; lacking judgement about priorities.
唔知天性,m di1 tien1 sin4,不知天高地厚。,Not knowing one's place; ignorant of the natural order; not knowing one's limits.
冇嘪太過,mau2 mai3 tai4 go4,不過不失，沒有什麼優點或缺點。,Neither good nor bad; mediocre; not particularly outstanding or flawed.
貓食惹禾,miau4 sit6 ngia1 vo2,貓吃掉你的水稻了（貓是不會這樣做的）。嘲笑人無故生氣。,Lit. 'a cat ate your rice crops' (which never happens). Mocking someone for getting angry over nothing.
蚊叼牛角,mun1 diau1 ngiu2 gok5,蚊子叮咬牛角。比喻沒感覺，冥頑不靈。,Lit. 'a mosquito biting an ox horn'. The ox feels nothing; describes someone who is insensitive or impervious.
眼大過啜,ngan3 tai4 go4 zoi4,字面是眼睛比嘴巴大。笑人以為自己食量很大，結果卻吃不下。,Eyes bigger than the stomach. Overestimating one's appetite; thinking you can eat more than you actually can.
鵝摎鴨講,ngo2 lau1 ap5 gong3,語言不通，相當於廣州話“雞同鴨講”。,A goose and a duck talking. Complete communication breakdown; mutual incomprehension. Equivalent to Cantonese 雞同鴨講.
蛇死腳出,sa2 si3 giok5 cut5,據說大蟒蛇死後，後腳會從身體伸出來。比喻水落石出，真相大白。,"Lit. 'when a snake dies, its legs appear'. The truth comes out eventually; the hidden facts are revealed."
死唔到份,si3 m dau4 fun4,詈語，字面是還沒輪到你死。罵人該死。,A curse: 'it's not even your turn to die yet'. Means: you deserve to die (you wretched person).
四腳扡天,si4 giok5 ya3 tien1,四隻腳抓着天空。四腳朝天的意思。,Four limbs reaching up to the sky; lying flat on one's back with all four limbs up.
大嫲牯隻,tai4 ma2 gu3 zak5,塊頭很大。例：有冇搞錯？大嫲牯隻還愛阿媽孭〔有沒有搞錯？長那麼大了還要媽媽背着〕。,A very large and bulky build. E.g. 'How can someone that big still want to be carried by their mother?'
一年到暗,yit5 ngien2 dau4 am4,一年到頭。,All year round; from one year's beginning to its end.
一日到暗,yit5 ngit5 dau4 am4,一天到晚（客家話把詞形改變了一下）。 【5】四字熟語·非重疊結構·短句 二維碼5,All day long; from morning to night (Hakka reshapes the idiom slightly).
帶子豬嫲,dai4 zu3 zu1 ma2,本指帶小豬的母豬，笑稱哺乳期的女人胃口大。,A nursing sow carrying piglets. Humorously describes a breastfeeding woman with a big appetite.
單家園屋,dan1 ga1 yen2 vuk5,獨棟的房子。,A standalone detached house.
暗紞財主,em4 dem4 coi2 zu3,隱形富豪。“暗點”是不起眼的意思。,A hidden wealthy person; a person of invisible wealth. 暗點 = inconspicuous.
花厘碧綠,fa1 li1 bit6 luk6,花花綠綠，又作花厘斗燦。這個詞碧唸bìt。,Brightly multi-coloured; gaudy and colourful. Also 花厘斗燦. Note: 碧 is pronounced bìt.
花厘斗燦,fa1 li1 deu3 can4,花花綠綠，又作花厘碧綠。,Brightly multi-coloured; gaudy and colourful. Also 花厘碧綠.
過魔絕代,go1 mo1 ciet6 toi4,絕子絕孫。罵人的話。,May your lineage end; may you have no descendants. A curse.
蝦公老蟹,ha2 gung1 lau4 hai3,字面是蝦和蟹，指蝦兵蟹將。意思是小蘿蔔頭，不重要的人物。,"Lit. 'shrimps and old crabs'. Shrimp soldiers and crab generals; minor, unimportant figures."
唔好看相,m hau3 kon4 siong4,外表、賣相不好看。,Not good-looking; having an unattractive appearance.
冇條紗線,mau2 tiau2 sa1 sien4,身上沒有任何衣服，一絲不掛。,Not a single thread; completely naked; not a stitch of clothing.
湓唇缽出,pun2 sun2 bat5 cut5,液體滿到容器邊上。,Liquid so full it is brimming over the rim of the container.
仙人卵屎,sien1 ngin2 lin3 si3,字面是神仙的精液。笑稱別人自作聰明，自以為是神仙的後代。,Lit. 'immortal's semen'. Mockingly: acting as if you are descended from a deity; self-important and smug.
黃金臘色,vong2 gim1 lap6 set5,耀眼的金黃色，一般指動物的毛或者鳥的羽毛。,"Dazzling golden-yellow colour, usually of an animal's coat or a bird's feathers."
無緣故事,vu2 yen2 gu4 su4,無緣無故，沒有一點理由。,Without any reason or cause whatsoever; out of the blue.
圓揩鼓攏,yen2 kai2 gu3 lung3,圓圓的（不好看，尤其指臉型）。 【6】四字熟語·非重疊結構·並列、定中 二維碼6,Perfectly round (unattractive) – especially of a round face.
矮墩差錘,ai3 dun3 ca1 cui2,矮小略帶胖。,Short and slightly plump; stocky.
暗摸西疏,am4 mo1 si1 so1,環境很黑。,Very dark environment.
晟光令另,cang2 gong1 lin4 lang4,刺眼。,Dazzlingly bright; causing the eyes to squint.
青零勁徑,ciang1 lin2 gin4 gang4,很綠或者很藍色。一般指湖水或海水。,Very green or very blue; usually of lake or sea water.
七爻揩歪,cit5 ngau2 kai1 ve3,形狀不規則，歪里歪相的。,Irregular in shape; lopsided and crooked.
糊藍搭咖,fu2 lam2 dap5 ga1,滿地或者滿身都是黏糊糊的東西。,"Covered all over in sticky, gooey stuff (on the floor or on one's body)."
高腳蝲䗁,gau1 giok5 la2 kia2,腿太長，高得不好看。,Legs far too long; ungainly tall legs.
